Athlete,State,Sport,Gender,Age,Coach,Event Type,Medals
Rohan Reddy,West Bengal,Kabaddi,Female,31,Coach Singh,All-rounder,"Silver, Gold"
Vijay Patil,Gujarat,Kabaddi,Female,23,Coach Iyer,Defender,Silver
Pooja Singh,West Bengal,Kabaddi,Male,16,Coach Patil,Defender,"Silver, Gold"
Anjali Chauhan,West Bengal,Kabaddi,Female,22,Coach Kumar,All-rounder,"Bronze, Bronze"
Isha Sharma,Kerala,Kabaddi,Male,21,Coach Iyer,Raider,"Bronze, Silver"
Isha Desai,Gujarat,Kabaddi,Female,29,Coach Patil,All-rounder,"Gold, Bronze, Bronze"
Isha Sharma,Gujarat,Kabaddi,Female,26,Coach Iyer,Raider,"Silver, Bronze"
Sakshi Nair,Tamil Nadu,Kabaddi,Male,19,Coach Singh,Defender,"Silver, Bronze, Gold"
Anjali Sharma,Punjab,Kabaddi,Male,21,Coach Singh,Defender,
Sakshi Chauhan,Maharashtra,Kabaddi,Female,22,Coach Patil,Raider,Bronze
Anjali Desai,Haryana,Kabaddi,Male,32,Coach Patil,Defender,Bronze
Sakshi Patil,Uttar Pradesh,Kabaddi,Female,33,Coach Iyer,All-rounder,"Silver, Bronze, Silver"
Aman Desai,Haryana,Kabaddi,Female,22,Coach Singh,Defender,Gold
Dev Chauhan,West Bengal,Kabaddi,Female,21,Coach Sharma,Raider,Gold
Aman Yadav,West Bengal,Kabaddi,Female,24,Coach Sharma,All-rounder,"Silver, Gold"
Aman Kaur,West Bengal,Kabaddi,Male,28,Coach Singh,All-rounder,"Bronze, Gold, Gold"
Pooja Singh,Rajasthan,Kabaddi,Female,28,Coach Kumar,All-rounder,"Gold, Gold, Silver"
Pooja Kaur,Maharashtra,Kabaddi,Female,34,Coach Singh,Defender,"Silver, Silver"
Isha Desai,Karnataka,Kabaddi,Male,33,Coach Patil,Raider,"Silver, Gold, Bronze"
Rohan Desai,Maharashtra,Kabaddi,Male,23,Coach Sharma,Defender,"Gold, Silver"
Vijay Desai,Uttar Pradesh,Kabaddi,Male,22,Coach Sharma,All-rounder,Gold
Sakshi Chauhan,Karnataka,Kabaddi,Female,32,Coach Patil,Defender,Gold
Pooja Kaur,Kerala,Kabaddi,Female,26,Coach Patil,All-rounder,Bronze
Dev Patil,Rajasthan,Kabaddi,Female,29,Coach Patil,Raider,Bronze
Yash Desai,Rajasthan,Kabaddi,Male,32,Coach Sharma,All-rounder,Gold
Dev Chauhan,West Bengal,Kabaddi,Male,17,Coach Kumar,Defender,"Bronze, Silver, Silver"
Aman Reddy,Haryana,Kabaddi,Male,30,Coach Iyer,Defender,"Gold, Bronze, Silver"
Rohan Kaur,Gujarat,Kabaddi,Female,34,Coach Sharma,All-rounder,"Bronze, Gold, Gold"
Dev Patil,Punjab,Kabaddi,Female,19,Coach Kumar,Raider,
Rohan Desai,Karnataka,Kabaddi,Male,23,Coach Kumar,Raider,Bronze
Vijay Singh,Uttar Pradesh,Kabaddi,Female,24,Coach Patil,Raider,
Pooja Yadav,Punjab,Kabaddi,Male,30,Coach Iyer,Defender,
Aman Joshi,Karnataka,Kabaddi,Female,33,Coach Iyer,Defender,Gold
Vijay Kaur,Punjab,Kabaddi,Male,17,Coach Iyer,Defender,
Dev Desai,Karnataka,Kabaddi,Male,17,Coach Sharma,Defender,
Vijay Joshi,Haryana,Kabaddi,Male,18,Coach Sharma,All-rounder,"Bronze, Bronze"
Aman Singh,Karnataka,Kabaddi,Female,34,Coach Sharma,Raider,"Silver, Bronze"
Sakshi Joshi,Uttar Pradesh,Kabaddi,Female,28,Coach Patil,Defender,"Bronze, Bronze"
Dev Singh,Maharashtra,Kabaddi,Female,20,Coach Sharma,Raider,Gold
Anjali Patil,Tamil Nadu,Kabaddi,Male,30,Coach Sharma,Raider,Bronze
Yash Patil,Kerala,Kabaddi,Female,23,Coach Kumar,Defender,"Silver, Silver"
Rohan Desai,Karnataka,Kabaddi,Female,35,Coach Patil,Raider,
Sakshi Reddy,Maharashtra,Kabaddi,Male,34,Coach Patil,Raider,"Gold, Gold, Gold"
Sakshi Singh,Punjab,Kabaddi,Male,29,Coach Patil,Defender,
Rohan Kaur,Uttar Pradesh,Kabaddi,Female,33,Coach Singh,Defender,"Silver, Bronze, Bronze"
Pooja Nair,West Bengal,Kabaddi,Male,19,Coach Sharma,All-rounder,"Gold, Bronze"
Rohan Nair,West Bengal,Kabaddi,Female,22,Coach Patil,Raider,Bronze
Isha Joshi,Maharashtra,Kabaddi,Female,31,Coach Patil,All-rounder,"Silver, Silver"
Pooja Kaur,Tamil Nadu,Kabaddi,Male,32,Coach Singh,Defender,"Gold, Silver, Bronze"
Anjali Chauhan,Punjab,Kabaddi,Male,31,Coach Singh,All-rounder,"Silver, Bronze"
Yash Sharma,Gujarat,Kabaddi,Female,34,Coach Patil,Raider,
Dev Kaur,West Bengal,Kabaddi,Male,19,Coach Patil,Defender,
Dev Joshi,Rajasthan,Kabaddi,Female,18,Coach Iyer,Raider,Gold
Dev Kaur,Maharashtra,Kabaddi,Male,22,Coach Singh,Defender,Bronze
Isha Kaur,Maharashtra,Kabaddi,Male,31,Coach Iyer,Defender,"Gold, Gold"
Vijay Reddy,Rajasthan,Kabaddi,Male,27,Coach Iyer,All-rounder,
Anjali Patil,Gujarat,Kabaddi,Male,24,Coach Patil,Raider,Bronze
Isha Nair,Kerala,Kabaddi,Male,32,Coach Sharma,Raider,
Rohan Kaur,Rajasthan,Kabaddi,Male,33,Coach Kumar,Defender,Bronze
Arjun Sharma,Karnataka,Kabaddi,Male,23,Coach Patil,All-rounder,"Gold, Bronze"
Isha Singh,Karnataka,Kabaddi,Male,29,Coach Kumar,Raider,"Bronze, Silver, Silver"
Arjun Chauhan,Uttar Pradesh,Kabaddi,Female,24,Coach Iyer,Defender,"Silver, Gold, Bronze"
Pooja Singh,Haryana,Kabaddi,Female,20,Coach Kumar,All-rounder,"Gold, Bronze"
Arjun Yadav,Punjab,Kabaddi,Female,28,Coach Singh,All-rounder,Silver
Isha Sharma,Punjab,Kabaddi,Male,19,Coach Patil,Raider,"Gold, Gold, Gold"
Dev Reddy,West Bengal,Kabaddi,Male,21,Coach Kumar,All-rounder,"Bronze, Silver, Bronze"
Sakshi Sharma,Karnataka,Kabaddi,Female,24,Coach Sharma,Raider,"Bronze, Bronze, Bronze"
Aman Kaur,Tamil Nadu,Kabaddi,Male,32,Coach Singh,All-rounder,"Gold, Silver"
Vijay Singh,Maharashtra,Kabaddi,Female,31,Coach Iyer,Raider,Bronze
Arjun Chauhan,Kerala,Kabaddi,Male,34,Coach Sharma,All-rounder,
Isha Patil,Haryana,Kabaddi,Female,25,Coach Singh,Raider,"Silver, Gold"
Isha Singh,Haryana,Kabaddi,Male,31,Coach Kumar,Defender,"Silver, Silver"
Vijay Sharma,West Bengal,Kabaddi,Female,21,Coach Iyer,Defender,Silver
Aman Chauhan,Kerala,Kabaddi,Female,34,Coach Kumar,All-rounder,"Bronze, Bronze, Gold"
Dev Chauhan,Gujarat,Kabaddi,Male,20,Coach Kumar,All-rounder,"Gold, Gold"
Yash Reddy,Punjab,Kabaddi,Female,23,Coach Kumar,Defender,"Silver, Silver"
Isha Singh,Gujarat,Kabaddi,Male,31,Coach Sharma,Raider,"Bronze, Gold"
Pooja Nair,Punjab,Kabaddi,Male,18,Coach Singh,Raider,Gold
Pooja Yadav,Uttar Pradesh,Kabaddi,Male,31,Coach Iyer,Defender,
Pooja Reddy,Kerala,Kabaddi,Female,18,Coach Sharma,Defender,
Aman Patil,Haryana,Kabaddi,Male,16,Coach Kumar,Raider,
Pooja Patil,West Bengal,Kabaddi,Male,25,Coach Sharma,Defender,"Bronze, Bronze, Silver"
Dev Yadav,West Bengal,Kabaddi,Male,30,Coach Iyer,Raider,"Silver, Silver, Silver"
Rohan Desai,Punjab,Kabaddi,Male,23,Coach Patil,All-rounder,"Bronze, Gold, Bronze"
Anjali Kaur,West Bengal,Kabaddi,Male,29,Coach Singh,All-rounder,Bronze
Yash Chauhan,West Bengal,Kabaddi,Female,22,Coach Singh,All-rounder,
Rohan Reddy,Karnataka,Kabaddi,Female,22,Coach Patil,All-rounder,Gold
Aman Reddy,Punjab,Kabaddi,Female,22,Coach Sharma,Defender,"Gold, Silver, Gold"
Vijay Sharma,Gujarat,Kabaddi,Female,20,Coach Patil,Raider,"Silver, Bronze"
Anjali Reddy,Gujarat,Kabaddi,Female,32,Coach Singh,All-rounder,"Silver, Bronze"
Isha Nair,Kerala,Kabaddi,Female,19,Coach Singh,Raider,
Vijay Joshi,Tamil Nadu,Kabaddi,Male,33,Coach Iyer,All-rounder,"Silver, Gold"
Vijay Patil,Punjab,Kabaddi,Female,29,Coach Patil,All-rounder,Gold
Vijay Reddy,Gujarat,Kabaddi,Female,34,Coach Kumar,Defender,"Silver, Gold"
Isha Nair,Kerala,Kabaddi,Female,28,Coach Iyer,Defender,Gold
Isha Nair,Haryana,Kabaddi,Male,23,Coach Singh,Raider,
Aman Reddy,Kerala,Kabaddi,Male,26,Coach Patil,Raider,
Dev Joshi,Maharashtra,Kabaddi,Male,17,Coach Kumar,Defender,
Aman Kaur,Kerala,Kabaddi,Male,20,Coach Singh,All-rounder,
Vijay Kaur,Punjab,Kabaddi,Female,16,Coach Sharma,Defender,Gold
Yash Singh,Karnataka,Kabaddi,Male,20,Coach Sharma,Raider,"Gold, Bronze"
Pooja Joshi,Maharashtra,Kabaddi,Female,31,Coach Kumar,All-rounder,Silver
Sakshi Patil,Uttar Pradesh,Kabaddi,Female,31,Coach Sharma,Raider,"Bronze, Silver"
Pooja Yadav,Uttar Pradesh,Kabaddi,Female,19,Coach Iyer,Defender,"Gold, Silver"
Yash Sharma,Kerala,Kabaddi,Female,26,Coach Singh,Defender,Gold
Sakshi Nair,Tamil Nadu,Kabaddi,Female,35,Coach Sharma,Raider,Silver
Sakshi Nair,Tamil Nadu,Kabaddi,Male,29,Coach Iyer,Defender,"Silver, Silver"
Yash Patil,Karnataka,Kabaddi,Male,29,Coach Sharma,All-rounder,"Bronze, Bronze"
Yash Kaur,Uttar Pradesh,Kabaddi,Female,28,Coach Singh,Defender,
Aman Joshi,Uttar Pradesh,Kabaddi,Male,26,Coach Iyer,Raider,"Gold, Silver, Silver"
Yash Kaur,Karnataka,Kabaddi,Female,19,Coach Sharma,Raider,
Aman Sharma,Gujarat,Kabaddi,Male,28,Coach Kumar,Defender,Gold
Rohan Patil,Kerala,Kabaddi,Female,29,Coach Iyer,Raider,Bronze
Arjun Desai,Karnataka,Kabaddi,Male,34,Coach Patil,Defender,
Arjun Reddy,Maharashtra,Kabaddi,Male,32,Coach Sharma,Defender,"Gold, Gold"
Yash Sharma,Rajasthan,Kabaddi,Male,23,Coach Patil,Raider,Gold
Pooja Joshi,West Bengal,Kabaddi,Female,18,Coach Iyer,Raider,Silver
Pooja Singh,Tamil Nadu,Kabaddi,Female,35,Coach Sharma,All-rounder,
Aman Yadav,Rajasthan,Kabaddi,Female,28,Coach Patil,Raider,Gold
Arjun Nair,Kerala,Kabaddi,Male,19,Coach Singh,All-rounder,Silver
Dev Singh,Uttar Pradesh,Kabaddi,Male,28,Coach Singh,Defender,
Dev Joshi,Gujarat,Kabaddi,Male,27,Coach Singh,Defender,"Gold, Gold"
Sakshi Singh,Punjab,Kabaddi,Female,20,Coach Iyer,Defender,"Gold, Gold, Bronze"
Pooja Yadav,Maharashtra,Kabaddi,Male,34,Coach Kumar,Defender,Gold
Pooja Singh,Uttar Pradesh,Kabaddi,Female,24,Coach Patil,Defender,
Yash Joshi,Haryana,Kabaddi,Female,17,Coach Sharma,Defender,
Vijay Joshi,Haryana,Kabaddi,Female,16,Coach Singh,Raider,
Isha Reddy,West Bengal,Kabaddi,Female,21,Coach Sharma,Defender,"Gold, Silver"
Arjun Chauhan,Maharashtra,Kabaddi,Male,29,Coach Singh,Raider,Silver
Vijay Sharma,Kerala,Kabaddi,Female,33,Coach Patil,Defender,
Rohan Kaur,Tamil Nadu,Kabaddi,Male,19,Coach Kumar,Raider,"Silver, Silver"
Rohan Reddy,Haryana,Kabaddi,Female,29,Coach Sharma,All-rounder,
Isha Desai,Uttar Pradesh,Kabaddi,Female,33,Coach Kumar,All-rounder,"Bronze, Silver, Bronze"
Dev Kaur,Tamil Nadu,Kabaddi,Female,32,Coach Iyer,All-rounder,Bronze
Rohan Yadav,Tamil Nadu,Kabaddi,Female,26,Coach Patil,All-rounder,Silver
Anjali Yadav,West Bengal,Kabaddi,Female,31,Coach Iyer,Defender,"Bronze, Gold, Gold"
Yash Nair,Uttar Pradesh,Kabaddi,Male,33,Coach Singh,Defender,"Gold, Silver, Gold"
Isha Nair,Uttar Pradesh,Kabaddi,Male,33,Coach Kumar,Defender,Gold
Aman Yadav,Uttar Pradesh,Kabaddi,Female,22,Coach Kumar,Raider,
Anjali Nair,Tamil Nadu,Kabaddi,Male,28,Coach Kumar,Defender,"Silver, Bronze, Silver"
Aman Nair,Punjab,Kabaddi,Female,25,Coach Singh,Raider,
Yash Sharma,Kerala,Kabaddi,Male,24,Coach Sharma,All-rounder,
Pooja Joshi,Uttar Pradesh,Kabaddi,Male,35,Coach Patil,All-rounder,Bronze
Arjun Nair,Tamil Nadu,Kabaddi,Male,33,Coach Patil,All-rounder,
Sakshi Joshi,West Bengal,Kabaddi,Female,27,Coach Kumar,Raider,"Gold, Gold"
Anjali Desai,Karnataka,Kabaddi,Male,16,Coach Sharma,Raider,
Vijay Sharma,Kerala,Kabaddi,Male,18,Coach Iyer,Raider,"Gold, Bronze"
Arjun Joshi,Kerala,Kabaddi,Female,21,Coach Iyer,Defender,"Gold, Gold"
Sakshi Desai,Kerala,Kabaddi,Male,20,Coach Patil,Defender,"Silver, Gold"
Rohan Nair,Punjab,Kabaddi,Female,31,Coach Iyer,All-rounder,Gold
Sakshi Yadav,Maharashtra,Kabaddi,Male,23,Coach Patil,All-rounder,"Gold, Gold, Bronze"
Dev Yadav,Karnataka,Kabaddi,Female,22,Coach Sharma,All-rounder,Gold
Dev Kaur,Uttar Pradesh,Kabaddi,Male,31,Coach Kumar,Defender,"Gold, Bronze, Bronze"
Arjun Patil,Tamil Nadu,Kabaddi,Male,17,Coach Kumar,Defender,
Yash Desai,Tamil Nadu,Kabaddi,Female,20,Coach Patil,Defender,
Dev Nair,Gujarat,Kabaddi,Female,21,Coach Iyer,All-rounder,Silver
Aman Sharma,Kerala,Kabaddi,Male,35,Coach Patil,Raider,
Aman Yadav,Haryana,Kabaddi,Male,25,Coach Singh,All-rounder,
Isha Desai,Kerala,Kabaddi,Male,20,Coach Iyer,Raider,"Bronze, Bronze"
Pooja Sharma,Karnataka,Kabaddi,Female,25,Coach Singh,All-rounder,"Gold, Gold, Silver"
Aman Desai,Tamil Nadu,Kabaddi,Male,25,Coach Kumar,All-rounder,"Silver, Gold"
Pooja Joshi,Kerala,Kabaddi,Female,29,Coach Patil,Raider,"Silver, Gold, Silver"
Vijay Patil,Kerala,Kabaddi,Female,27,Coach Sharma,Raider,"Bronze, Gold"
Vijay Joshi,Kerala,Kabaddi,Female,21,Coach Kumar,Defender,"Bronze, Gold"
Vijay Joshi,Kerala,Kabaddi,Female,30,Coach Singh,All-rounder,
Aman Desai,Karnataka,Kabaddi,Male,34,Coach Singh,All-rounder,"Silver, Silver, Silver"
Yash Singh,Karnataka,Kabaddi,Male,26,Coach Kumar,Defender,"Silver, Gold"
Vijay Nair,Karnataka,Kabaddi,Female,27,Coach Iyer,All-rounder,
Rohan Patil,Maharashtra,Kabaddi,Female,34,Coach Iyer,All-rounder,"Silver, Silver, Silver"
Rohan Reddy,Punjab,Kabaddi,Male,31,Coach Patil,Defender,Gold
Yash Sharma,Tamil Nadu,Kabaddi,Female,16,Coach Patil,Defender,"Gold, Bronze, Silver"
Aman Yadav,West Bengal,Kabaddi,Female,18,Coach Kumar,All-rounder,Bronze
Yash Kaur,Tamil Nadu,Kabaddi,Female,35,Coach Patil,Defender,
Isha Joshi,Haryana,Kabaddi,Male,16,Coach Kumar,All-rounder,Gold
Sakshi Singh,Rajasthan,Kabaddi,Male,31,Coach Singh,Defender,Bronze
Isha Yadav,Punjab,Kabaddi,Male,28,Coach Iyer,Defender,
Anjali Patil,Punjab,Kabaddi,Male,19,Coach Patil,Defender,"Gold, Gold, Silver"
Rohan Patil,Uttar Pradesh,Kabaddi,Male,16,Coach Iyer,All-rounder,
Aman Reddy,Gujarat,Kabaddi,Female,32,Coach Sharma,Raider,"Silver, Silver, Gold"
Pooja Sharma,Karnataka,Kabaddi,Female,25,Coach Kumar,All-rounder,Silver
Aman Singh,Punjab,Kabaddi,Female,27,Coach Iyer,Raider,Gold
Aman Joshi,Kerala,Kabaddi,Female,33,Coach Patil,Raider,"Silver, Silver, Bronze"
Rohan Joshi,Rajasthan,Kabaddi,Male,21,Coach Kumar,Defender,"Gold, Gold"
Pooja Chauhan,Tamil Nadu,Kabaddi,Male,23,Coach Singh,Defender,Silver
Rohan Patil,Rajasthan,Kabaddi,Male,28,Coach Patil,All-rounder,"Silver, Bronze"
Pooja Yadav,Punjab,Kabaddi,Female,33,Coach Kumar,Raider,"Bronze, Silver"
Aman Nair,Uttar Pradesh,Kabaddi,Male,33,Coach Patil,All-rounder,"Bronze, Silver"
Pooja Singh,Karnataka,Kabaddi,Male,35,Coach Kumar,All-rounder,"Bronze, Gold, Gold"
Isha Nair,Maharashtra,Kabaddi,Female,31,Coach Kumar,Defender,Silver
Arjun Chauhan,Uttar Pradesh,Kabaddi,Male,16,Coach Patil,Raider,"Bronze, Bronze"
Arjun Patil,West Bengal,Kabaddi,Male,16,Coach Sharma,All-rounder,
Vijay Singh,Haryana,Kabaddi,Female,18,Coach Patil,All-rounder,Bronze
Sakshi Chauhan,Haryana,Kabaddi,Male,29,Coach Sharma,All-rounder,
Anjali Yadav,Kerala,Kabaddi,Male,22,Coach Singh,Defender,
Arjun Kaur,West Bengal,Kabaddi,Female,16,Coach Patil,Defender,Gold
Vijay Yadav,West Bengal,Kabaddi,Female,30,Coach Sharma,All-rounder,Silver
Sakshi Chauhan,West Bengal,Kabaddi,Male,18,Coach Singh,Raider,
Arjun Yadav,West Bengal,Kabaddi,Male,20,Coach Singh,Defender,Silver
Sakshi Patil,West Bengal,Kabaddi,Female,24,Coach Patil,Raider,
Rohan Joshi,Haryana,Kabaddi,Male,21,Coach Iyer,Defender,"Silver, Gold, Bronze"
Anjali Nair,Karnataka,Kabaddi,Female,33,Coach Patil,Defender,"Gold, Silver, Silver"
Arjun Yadav,Rajasthan,Kabaddi,Female,16,Coach Singh,Defender,"Bronze, Silver"
Aman Desai,Rajasthan,Kabaddi,Male,27,Coach Patil,Raider,Bronze
Dev Nair,Karnataka,Kabaddi,Female,22,Coach Singh,All-rounder,"Bronze, Bronze, Gold"
Arjun Joshi,Punjab,Kabaddi,Male,32,Coach Singh,Raider,"Bronze, Silver, Silver"
Vijay Desai,Uttar Pradesh,Kabaddi,Male,35,Coach Singh,Defender,"Silver, Silver"
Anjali Joshi,Gujarat,Kabaddi,Male,20,Coach Sharma,Raider,"Bronze, Bronze, Silver"
Aman Chauhan,Kerala,Kabaddi,Male,32,Coach Sharma,Defender,Bronze
Vijay Yadav,Rajasthan,Kabaddi,Female,23,Coach Singh,Raider,"Silver, Bronze"
Dev Chauhan,Tamil Nadu,Kabaddi,Male,22,Coach Singh,Raider,"Bronze, Bronze, Bronze"
Pooja Desai,Gujarat,Kabaddi,Male,18,Coach Patil,Raider,Bronze
Arjun Yadav,Tamil Nadu,Kabaddi,Female,23,Coach Patil,Raider,"Gold, Bronze"
Aman Nair,Tamil Nadu,Kabaddi,Female,28,Coach Kumar,All-rounder,"Bronze, Gold"
Yash Yadav,Tamil Nadu,Kabaddi,Male,16,Coach Singh,Defender,"Silver, Gold, Gold"
Rohan Nair,Punjab,Kabaddi,Male,32,Coach Sharma,All-rounder,"Bronze, Silver, Gold"
Dev Yadav,Rajasthan,Kabaddi,Male,17,Coach Sharma,All-rounder,Silver
Isha Desai,Kerala,Kabaddi,Female,28,Coach Iyer,Defender,
Vijay Patil,Gujarat,Kabaddi,Female,16,Coach Kumar,All-rounder,Gold
Yash Singh,Gujarat,Kabaddi,Male,23,Coach Singh,All-rounder,
Rohan Nair,Punjab,Kabaddi,Male,34,Coach Patil,All-rounder,Bronze
Aman Yadav,Punjab,Kabaddi,Male,19,Coach Kumar,All-rounder,Silver
Pooja Sharma,Punjab,Kabaddi,Female,16,Coach Singh,All-rounder,"Bronze, Silver"
Vijay Joshi,Karnataka,Kabaddi,Female,20,Coach Sharma,All-rounder,"Bronze, Silver"
Yash Kaur,West Bengal,Kabaddi,Male,25,Coach Patil,Defender,"Silver, Bronze"
Dev Desai,Maharashtra,Kabaddi,Female,29,Coach Kumar,Raider,"Silver, Silver, Gold"
Isha Chauhan,Gujarat,Kabaddi,Female,29,Coach Patil,Raider,
Pooja Nair,Haryana,Kabaddi,Female,23,Coach Patil,Defender,"Silver, Gold, Gold"
Dev Joshi,Punjab,Kabaddi,Female,32,Coach Kumar,Defender,"Bronze, Gold, Bronze"
Rohan Desai,Gujarat,Kabaddi,Male,31,Coach Singh,All-rounder,"Bronze, Bronze"
Arjun Nair,Haryana,Kabaddi,Male,30,Coach Patil,Raider,
Sakshi Desai,Punjab,Kabaddi,Female,19,Coach Iyer,Defender,"Bronze, Bronze, Silver"
Isha Singh,Gujarat,Kabaddi,Female,27,Coach Kumar,Defender,Gold
Aman Reddy,Kerala,Kabaddi,Male,20,Coach Patil,Defender,"Gold, Silver"
Vijay Reddy,Karnataka,Kabaddi,Female,17,Coach Patil,All-rounder,"Bronze, Gold"
Sakshi Nair,Karnataka,Kabaddi,Female,16,Coach Singh,Defender,"Gold, Gold, Gold"
Arjun Desai,Rajasthan,Kabaddi,Female,18,Coach Sharma,Defender,Bronze
Rohan Kaur,Maharashtra,Kabaddi,Male,23,Coach Sharma,All-rounder,Bronze
Anjali Sharma,Rajasthan,Kabaddi,Female,24,Coach Kumar,Defender,"Gold, Silver"
Anjali Singh,West Bengal,Kabaddi,Female,33,Coach Sharma,All-rounder,"Gold, Silver"
Aman Reddy,Uttar Pradesh,Kabaddi,Female,23,Coach Patil,All-rounder,
Anjali Patil,Rajasthan,Kabaddi,Female,29,Coach Iyer,Defender,"Silver, Silver, Silver"
Isha Chauhan,Uttar Pradesh,Kabaddi,Female,30,Coach Patil,All-rounder,
Dev Chauhan,Uttar Pradesh,Kabaddi,Male,18,Coach Singh,Defender,
Anjali Joshi,Kerala,Kabaddi,Male,33,Coach Sharma,Raider,"Gold, Gold, Silver"
Sakshi Reddy,Maharashtra,Kabaddi,Female,19,Coach Singh,Raider,
Anjali Reddy,West Bengal,Kabaddi,Female,27,Coach Kumar,Defender,Bronze
Dev Kaur,West Bengal,Kabaddi,Male,27,Coach Iyer,Defender,"Silver, Bronze, Silver"
Sakshi Yadav,Tamil Nadu,Kabaddi,Male,23,Coach Iyer,Defender,Bronze
Isha Patil,Kerala,Kabaddi,Female,19,Coach Patil,Raider,"Gold, Bronze"
Yash Nair,Haryana,Kabaddi,Female,25,Coach Patil,Defender,
Anjali Desai,Haryana,Kabaddi,Female,24,Coach Singh,Defender,
Isha Chauhan,Uttar Pradesh,Kabaddi,Male,31,Coach Singh,Raider,Gold
Rohan Patil,West Bengal,Kabaddi,Female,23,Coach Patil,Defender,"Bronze, Silver"
Rohan Reddy,Rajasthan,Kabaddi,Male,33,Coach Iyer,Raider,Silver
Sakshi Desai,Maharashtra,Kabaddi,Male,16,Coach Iyer,Defender,"Gold, Gold, Gold"
Yash Reddy,Punjab,Kabaddi,Male,34,Coach Kumar,Raider,"Silver, Bronze"
Sakshi Patil,Maharashtra,Kabaddi,Male,30,Coach Singh,All-rounder,"Silver, Gold"
Pooja Desai,Punjab,Kabaddi,Female,33,Coach Kumar,Raider,"Gold, Bronze, Silver"
Yash Sharma,Punjab,Kabaddi,Male,16,Coach Singh,All-rounder,
Vijay Nair,Haryana,Kabaddi,Male,19,Coach Singh,Raider,Gold
Aman Reddy,Tamil Nadu,Kabaddi,Male,27,Coach Patil,All-rounder,"Silver, Bronze"
Sakshi Desai,Kerala,Kabaddi,Female,20,Coach Singh,Raider,Gold
Vijay Sharma,Punjab,Kabaddi,Female,22,Coach Singh,Defender,"Gold, Silver"
Vijay Kaur,Gujarat,Kabaddi,Female,30,Coach Iyer,All-rounder,"Silver, Silver"
Pooja Reddy,West Bengal,Kabaddi,Male,34,Coach Singh,All-rounder,"Bronze, Gold"
Aman Nair,Uttar Pradesh,Kabaddi,Female,25,Coach Singh,All-rounder,
Aman Reddy,Rajasthan,Kabaddi,Male,21,Coach Patil,All-rounder,"Bronze, Gold, Silver"
Sakshi Joshi,Karnataka,Kabaddi,Female,21,Coach Singh,Raider,"Silver, Bronze, Silver"
Sakshi Sharma,Rajasthan,Kabaddi,Female,18,Coach Iyer,Raider,"Bronze, Bronze"
Aman Singh,Gujarat,Kabaddi,Female,18,Coach Sharma,All-rounder,"Silver, Silver"
Arjun Chauhan,Tamil Nadu,Kabaddi,Female,24,Coach Iyer,All-rounder,Gold
Arjun Desai,Punjab,Kabaddi,Male,35,Coach Patil,Raider,"Bronze, Gold, Gold"
Isha Yadav,Kerala,Kabaddi,Female,33,Coach Iyer,Raider,
Aman Patil,Maharashtra,Kabaddi,Female,16,Coach Patil,All-rounder,Silver
Arjun Joshi,Punjab,Kabaddi,Male,17,Coach Iyer,Raider,Bronze
Yash Sharma,Uttar Pradesh,Kabaddi,Female,32,Coach Patil,All-rounder,"Silver, Bronze, Silver"
Dev Patil,Haryana,Kabaddi,Male,22,Coach Sharma,All-rounder,"Gold, Silver"
Vijay Chauhan,Kerala,Kabaddi,Female,28,Coach Singh,All-rounder,
Pooja Yadav,West Bengal,Kabaddi,Female,19,Coach Kumar,Raider,
Sakshi Nair,Karnataka,Kabaddi,Female,32,Coach Singh,All-rounder,"Gold, Bronze, Bronze"
Arjun Nair,Punjab,Kabaddi,Female,26,Coach Iyer,All-rounder,Bronze
Rohan Yadav,Haryana,Kabaddi,Female,28,Coach Iyer,All-rounder,"Silver, Silver, Gold"
Arjun Nair,West Bengal,Kabaddi,Female,20,Coach Kumar,Defender,"Silver, Silver, Gold"
Pooja Nair,Uttar Pradesh,Kabaddi,Male,28,Coach Patil,Defender,
Aman Desai,Haryana,Kabaddi,Male,20,Coach Patil,Raider,
Vijay Chauhan,Punjab,Kabaddi,Female,22,Coach Kumar,Defender,
Anjali Chauhan,Haryana,Kabaddi,Female,20,Coach Iyer,Raider,"Bronze, Bronze"
Sakshi Nair,Kerala,Kabaddi,Male,35,Coach Iyer,Raider,Silver
Sakshi Nair,Karnataka,Kabaddi,Female,33,Coach Kumar,Raider,"Gold, Bronze, Silver"
Aman Desai,West Bengal,Kabaddi,Male,32,Coach Kumar,Defender,Gold
Sakshi Sharma,Haryana,Kabaddi,Female,20,Coach Sharma,Raider,"Gold, Bronze"
Dev Nair,Tamil Nadu,Kabaddi,Female,26,Coach Kumar,Raider,"Bronze, Gold"
Pooja Reddy,Uttar Pradesh,Kabaddi,Female,25,Coach Sharma,Raider,"Bronze, Silver"
Aman Patil,West Bengal,Kabaddi,Male,32,Coach Sharma,Raider,Silver
Aman Chauhan,Karnataka,Kabaddi,Male,22,Coach Singh,All-rounder,"Bronze, Silver"
Isha Reddy,Tamil Nadu,Kabaddi,Female,24,Coach Singh,Raider,"Silver, Silver, Bronze"
Arjun Desai,Haryana,Kabaddi,Female,27,Coach Patil,Raider,
Arjun Joshi,Tamil Nadu,Kabaddi,Male,32,Coach Singh,Defender,Silver
Pooja Singh,West Bengal,Kabaddi,Female,27,Coach Kumar,All-rounder,"Gold, Bronze, Bronze"
